VID,Year,Make,Model,Trim,VIN,Value
29759C,12,GMC,SIERRA 2500 CREW CAB,W/T 4WD T/D,1GT12ZB8-C,34475
29760C,12,GMC,SIERRA 2500 CREW CAB,W/T,1GT12ZBG-C,27475
29771C,12,GMC,SIERRA 2500 CREW CAB,W/T 4WD T/D,1GT12ZBL-C,34475
29761C,12,GMC,SIERRA 2500 CREW CAB,W/T 4WD T/D,1GT12ZC8-C,34475
29762C,12,GMC,SIERRA 2500 CREW CAB,W/T,1GT12ZCG-C,27475
29772C,12,GMC,SIERRA 2500 CREW CAB,W/T 4WD T/D,1GT12ZCL-C,34475
29763C,12,GMC,SIERRA 2500 CREW CAB,W/T 4WD T/D,1GT12ZD8-C,34475
29764C,12,GMC,SIERRA 2500 CREW CAB,W/T,1GT12ZDG-C,27475
29773C,12,GMC,SIERRA 2500 CREW CAB,W/T 4WD T/D,1GT12ZDL-C,34475
29765C,12,GMC,SIERRA 2500 CREW CAB,W/T 4WD T/D,1GT12ZE8-C,34475
29766C,12,GMC,SIERRA 2500 CREW CAB,W/T,1GT12ZEG-C,27475
29774C,12,GMC,SIERRA 2500 CREW CAB,W/T 4WD T/D,1GT12ZEL-C,34475
29767C,12,GMC,SIERRA 2500 CREW CAB,W/T 4WD T/D,1GT12ZF8-C,34475
29768C,12,GMC,SIERRA 2500 CREW CAB,W/T,1GT12ZFG-C,27475
29775C,12,GMC,SIERRA 2500 CREW CAB,W/T 4WD T/D,1GT12ZFL-C,34475
29769C,12,GMC,SIERRA 2500 CREW CAB,W/T 4WD T/D,1GT12ZH8-C,34475
29770C,12,GMC,SIERRA 2500 CREW CAB,W/T,1GT12ZHG-C,27475
29776C,12,GMC,SIERRA 2500 CREW CAB,W/T 4WD T/D,1GT12ZHL-C,34475
25560D,13,GMC,SIERRA 2500 EXT,SLE 2WD T/D,1GT210E8-D,41475
25561D,13,GMC,SIERRA 2500 EXT,SLE 2WD CNG,1GT210EB-D,43825
25562D,13,GMC,SIERRA 2500 EXT,SLE 2WD,1GT210EG-D,32925
25563D,13,GMC,SIERRA 2500 EXT,SLE 2WD T/D,1GT210F8-D,41475
25564D,13,GMC,SIERRA 2500 EXT,SLE 2WD CNG,1GT210FB-D,43825
25565D,13,GMC,SIERRA 2500 EXT,SLE 2WD,1GT210FG-D,32925
25580D,13,GMC,SIERRA 2500 EXT,SLT 2WD T/D,1GT211E8-D,46500
25581D,13,GMC,SIERRA 2500 EXT,SLT 2WD CNG,1GT211EB-D,48850
25582D,13,GMC,SIERRA 2500 EXT,SLT 2WD,1GT211EG-D,37950
25583D,13,GMC,SIERRA 2500 EXT,SLT 2WD T/D,1GT211F8-D,46500
25584D,13,GMC,SIERRA 2500 EXT,SLT 2WD CNG,1GT211FB-D,48850
25585D,13,GMC,SIERRA 2500 EXT,SLT 2WD,1GT211FG-D,37950
25532D,13,GMC,SIERRA 2500 EXT,W/T 2WD T/D,1GT21ZE8-D,37800
25533D,13,GMC,SIERRA 2500 EXT,W/T 2WD CNG,1GT21ZEB-D,40150
25534D,13,GMC,SIERRA 2500 EXT,W/T 2WD,1GT21ZEG-D,29250
25535D,13,GMC,SIERRA 2500 EXT,W/T 2WD T/D,1GT21ZF8-D,37800
25536D,13,GMC,SIERRA 2500 EXT,W/T 2WD CNG,1GT21ZFB-D,40150
25537D,13,GMC,SIERRA 2500 EXT,W/T 2WD,1GT21ZFG-D,29250
25566D,13,GMC,SIERRA 2500 EXT,SLE 4WD T/D,1GT220E8-D,44600
25567D,13,GMC,SIERRA 2500 EXT,SLE 4WD CNG,1GT220EB-D,47075
25568D,13,GMC,SIERRA 2500 EXT,SLE 4WD,1GT220EG-D,36050
25569D,13,GMC,SIERRA 2500 EXT,SLE 4WD T/D,1GT220F8-D,44600
25570D,13,GMC,SIERRA 2500 EXT,SLE 4WD CNG,1GT220FB-D,47075
25571D,13,GMC,SIERRA 2500 EXT,SLE 4WD T/D,1GT220FG-D,36050
25586D,13,GMC,SIERRA 2500 EXT,SLT 4WD T/D,1GT221E8-D,49425
25587D,13,GMC,SIERRA 2500 EXT,SLT 4WD CNG,1GT221EB-D,51775
25588D,13,GMC,SIERRA 2500 EXT,SLT 4WD,1GT221EG-D,40875
25589D,13,GMC,SIERRA 2500 EXT,SLT 4WD T/D,1GT221F8-D,49425
25590D,13,GMC,SIERRA 2500 EXT,SLT 4WD CNG,1GT221FB-D,51775
25591D,13,GMC,SIERRA 2500 EXT,SLT 4WD T/D,1GT221FG-D,40875
25538D,13,GMC,SIERRA 2500 EXT,W/T 4WD T/D,1GT22ZE8-D,40550
25539D,13,GMC,SIERRA 2500 EXT,W/T 4WD CNG,1GT22ZEB-D,42925
25540D,13,GMC,SIERRA 2500 EXT,W/T 4WD,1GT22ZEG-D,32000
25541D,13,GMC,SIERRA 2500 EXT,W/T 4WD T/D,1GT22ZF8-D,40550
25542D,13,GMC,SIERRA 2500 EXT,W/T 4WD CNG,1GT22ZFB-D,42925
25543D,13,GMC,SIERRA 2500 EXT,W/T 4WD,1GT22ZFG-D,32000
27075A,10,GMC,SIERRA 2500 EXT,SLE 2WD T/D,1GT5C0B6-A,26150
27076A,10,GMC,SIERRA 2500 EXT,SLE 2WD,1GT5C0BG-A,20700
27077A,10,GMC,SIERRA 2500 EXT,SLE 2WD,1GT5C0BK-A,20700
27087A,10,GMC,SIERRA 2500 EXT,SLT 2WD T/D,1GT5C1B6-A,28850
27088A,10,GMC,SIERRA 2500 EXT,SLT 2WD,1GT5C1BG-A,23300
27089A,10,GMC,SIERRA 2500 EXT,SLT 2WD,1GT5C1BK-A,23300
27057A,10,GMC,SIERRA 2500 EXT,W/T 2WD T/D,1GT5CZB6-A,22075
27058A,10,GMC,SIERRA 2500 EXT,W/T 2WD,1GT5CZBG-A,16625
27059A,10,GMC,SIERRA 2500 EXT,W/T 2WD,1GT5CZBK-A,16625
27078A,10,GMC,SIERRA 2500 EXT,SLE 4WD T/D,1GT5K0B6-A,29625
27079A,10,GMC,SIERRA 2500 EXT,SLE 4WD,1GT5K0BG-A,24250
27080A,10,GMC,SIERRA 2500 EXT,SLE 4WD,1GT5K0BK-A,24250
27090A,10,GMC,SIERRA 2500 EXT,SLT 4WD T/D,1GT5K1B6-A,32300
27091A,10,GMC,SIERRA 2500 EXT,SLT 4WD,1GT5K1BG-A,26875
27092A,10,GMC,SIERRA 2500 EXT,SLT 4WD,1GT5K1BK-A,26875
27060A,10,GMC,SIERRA 2500 EXT,W/T 4WD T/D,1GT5KZB6-A,25600
27061A,10,GMC,SIERRA 2500 EXT,W/T 4WD,1GT5KZBG-A,20150
27062A,10,GMC,SIERRA 2500 EXT,W/T 4WD,1GT5KZBK-A,20150
29816C,12,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210B8-C,31800
29817C,12,GMC,SIERRA 2500 EXT CAB,SLE,1GT210BG-C,24800
29828C,12,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210BL-C,31800
29818C,12,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210C8-C,31800
29819C,12,GMC,SIERRA 2500 EXT CAB,SLE,1GT210CG-C,24800
29829C,12,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210CL-C,31800
29820C,12,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210D8-C,31800
29821C,12,GMC,SIERRA 2500 EXT CAB,SLE,1GT210DG-C,24800
29830C,12,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210DL-C,31800
29822C,12,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210E8-C,31800
29823C,12,GMC,SIERRA 2500 EXT CAB,SLE,1GT210EG-C,24800
29831C,12,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210EL-C,31800
29824C,12,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210F8-C,31800
29825C,12,GMC,SIERRA 2500 EXT CAB,SLE,1GT210FG-C,24800
29832C,12,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210FL-C,31800
29826C,12,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210H8-C,31800
29827C,12,GMC,SIERRA 2500 EXT CAB,SLE,1GT210HG-C,24800
29833C,12,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210HL-C,31800
29888C,12,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211B8-C,37525
29889C,12,GMC,SIERRA 2500 EXT CAB,SLT,1GT211BG-C,30525
29890C,12,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211BL-C,37525
29891C,12,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211C8-C,37525
29892C,12,GMC,SIERRA 2500 EXT CAB,SLT,1GT211CG-C,30525
29893C,12,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211CL-C,37525
29894C,12,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211D8-C,37525
29895C,12,GMC,SIERRA 2500 EXT CAB,SLT,1GT211DG-C,30525
29896C,12,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211DL-C,37525
29897C,12,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211E8-C,37525
29898C,12,GMC,SIERRA 2500 EXT CAB,SLT,1GT211EG-C,30525
29899C,12,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211EL-C,37525
29900C,12,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211F8-C,37525
29901C,12,GMC,SIERRA 2500 EXT CAB,SLT,1GT211FG-C,30525
29902C,12,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211FL-C,37525
29903C,12,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211H8-C,37525
29904C,12,GMC,SIERRA 2500 EXT CAB,SLT,1GT211HG-C,30525
29905C,12,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211HL-C,37525
29705C,12,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZB8-C,29150
29706C,12,GMC,SIERRA 2500 EXT CAB,W/T,1GT21ZBG-C,22150
29717C,12,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZBL-C,29150
29707C,12,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZC8-C,29150
29708C,12,GMC,SIERRA 2500 EXT CAB,W/T,1GT21ZCG-C,22150
29718C,12,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZCL-C,29150
29709C,12,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZD8-C,29150
29710C,12,GMC,SIERRA 2500 EXT CAB,W/T,1GT21ZDG-C,22150
29719C,12,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZDL-C,29150
29711C,12,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZE8-C,29150
29712C,12,GMC,SIERRA 2500 EXT CAB,W/T,1GT21ZEG-C,22150
29720C,12,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZEL-C,29150
29713C,12,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZF8-C,29150
29714C,12,GMC,SIERRA 2500 EXT CAB,W/T,1GT21ZFG-C,22150
29721C,12,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZFL-C,29150
29715C,12,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZH8-C,29150
29716C,12,GMC,SIERRA 2500 EXT CAB,W/T,1GT21ZHG-C,22150
29722C,12,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZHL-C,29150
29834C,12,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220B8-C,35450
29835C,12,GMC,SIERRA 2500 EXT CAB,SLE,1GT220BG-C,28450
29846C,12,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220BL-C,35450
29836C,12,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220C8-C,35450
29837C,12,GMC,SIERRA 2500 EXT CAB,SLE,1GT220CG-C,28450
29847C,12,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220CL-C,35450
29838C,12,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220D8-C,35450
29839C,12,GMC,SIERRA 2500 EXT CAB,SLE,1GT220DG-C,28450
29848C,12,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220DL-C,35450
29840C,12,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220E8-C,35450
29841C,12,GMC,SIERRA 2500 EXT CAB,SLE,1GT220EG-C,28450
29849C,12,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220EL-C,35450
29842C,12,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220F8-C,35450
29843C,12,GMC,SIERRA 2500 EXT CAB,SLE,1GT220FG-C,28450
29850C,12,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220FL-C,35450
29844C,12,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220H8-C,35450
29845C,12,GMC,SIERRA 2500 EXT CAB,SLE,1GT220HG-C,28450
29851C,12,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220HL-C,35450
29906C,12,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221B8-C,41200
29907C,12,GMC,SIERRA 2500 EXT CAB,SLT,1GT221BG-C,34200
29908C,12,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221BL-C,41200
29909C,12,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221C8-C,41200
29910C,12,GMC,SIERRA 2500 EXT CAB,SLT,1GT221CG-C,34200
29911C,12,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221CL-C,41200
29912C,12,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221D8-C,41200
29913C,12,GMC,SIERRA 2500 EXT CAB,SLT,1GT221DG-C,34200
29914C,12,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221DL-C,41200
29915C,12,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221E8-C,41200
29916C,12,GMC,SIERRA 2500 EXT CAB,SLT,1GT221EG-C,34200
29917C,12,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221EL-C,41200
29918C,12,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221F8-C,41200
29919C,12,GMC,SIERRA 2500 EXT CAB,SLT,1GT221FG-C,34200
29920C,12,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221FL-C,41200
29921C,12,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221H8-C,41200
29922C,12,GMC,SIERRA 2500 EXT CAB,SLT,1GT221HG-C,34200
29923C,12,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221HL-C,41200
29723C,12,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZB8-C,32775
29724C,12,GMC,SIERRA 2500 EXT CAB,W/T,1GT22ZBG-C,25775
29735C,12,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZBL-C,32775
29725C,12,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZC8-C,32775
29726C,12,GMC,SIERRA 2500 EXT CAB,W/T,1GT22ZCG-C,25775
29736C,12,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZCL-C,32775
29727C,12,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZD8-C,32775
29728C,12,GMC,SIERRA 2500 EXT CAB,W/T,1GT22ZDG-C,25775
29737C,12,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZDL-C,32775
29729C,12,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZE8-C,32775
29730C,12,GMC,SIERRA 2500 EXT CAB,W/T,1GT22ZEG-C,25775
29738C,12,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZEL-C,32775
29731C,12,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZF8-C,32775
29732C,12,GMC,SIERRA 2500 EXT CAB,W/T,1GT22ZFG-C,25775
29739C,12,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZFL-C,32775
29733C,12,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZH8-C,32775
29734C,12,GMC,SIERRA 2500 EXT CAB,W/T,1GT22ZHG-C,25775
29740C,12,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZHL-C,32775
25883B,11,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210B8-B,29250
25884B,11,GMC,SIERRA 2500 EXT CAB,SLE,1GT210BG-B,22750
25895B,11,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210BL-B,29250
25885B,11,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210C8-B,29250
25886B,11,GMC,SIERRA 2500 EXT CAB,SLE,1GT210CG-B,22750
25896B,11,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210CL-B,29250
25887B,11,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210D8-B,29250
25888B,11,GMC,SIERRA 2500 EXT CAB,SLE,1GT210DG-B,22750
25897B,11,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210DL-B,29250
25889B,11,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210E8-B,29250
25890B,11,GMC,SIERRA 2500 EXT CAB,SLE,1GT210EG-B,22750
25898B,11,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210EL-B,29250
25891B,11,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210F8-B,29250
25892B,11,GMC,SIERRA 2500 EXT CAB,SLE,1GT210FG-B,22750
25899B,11,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210FL-B,29250
25893B,11,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210H8-B,29250
25894B,11,GMC,SIERRA 2500 EXT CAB,SLE,1GT210HG-B,22750
25900B,11,GMC,SIERRA 2500 EXT CAB,SLE 2WD T/D,1GT210HL-B,29250
25955B,11,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211B8-B,34950
25956B,11,GMC,SIERRA 2500 EXT CAB,SLT,1GT211BG-B,28400
25957B,11,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211BL-B,34950
25958B,11,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211C8-B,34950
25959B,11,GMC,SIERRA 2500 EXT CAB,SLT,1GT211CG-B,28400
25960B,11,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211CL-B,34950
25961B,11,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211D8-B,34950
25962B,11,GMC,SIERRA 2500 EXT CAB,SLT,1GT211DG-B,28400
25963B,11,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211DL-B,34950
25964B,11,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211E8-B,34950
25965B,11,GMC,SIERRA 2500 EXT CAB,SLT,1GT211EG-B,28400
25966B,11,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211EL-B,34950
25967B,11,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211F8-B,34950
25968B,11,GMC,SIERRA 2500 EXT CAB,SLT,1GT211FG-B,28400
25969B,11,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211FL-B,34950
25970B,11,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211H8-B,34950
25971B,11,GMC,SIERRA 2500 EXT CAB,SLT,1GT211HG-B,28400
25972B,11,GMC,SIERRA 2500 EXT CAB,SLT 2WD T/D,1GT211HL-B,34950
25772B,11,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZB8-B,26475
25773B,11,GMC,SIERRA 2500 EXT CAB,W/T,1GT21ZBG-B,19975
25784B,11,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZBL-B,26475
25774B,11,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZC8-B,26475
25775B,11,GMC,SIERRA 2500 EXT CAB,W/T,1GT21ZCG-B,19975
25785B,11,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZCL-B,26475
25776B,11,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZD8-B,26475
25777B,11,GMC,SIERRA 2500 EXT CAB,W/T,1GT21ZDG-B,19975
25786B,11,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZDL-B,26475
25778B,11,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZE8-B,26475
25779B,11,GMC,SIERRA 2500 EXT CAB,W/T,1GT21ZEG-B,19975
25787B,11,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZEL-B,26475
25780B,11,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZF8-B,26475
25781B,11,GMC,SIERRA 2500 EXT CAB,W/T,1GT21ZFG-B,19975
25788B,11,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZFL-B,26475
25782B,11,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZH8-B,26475
25783B,11,GMC,SIERRA 2500 EXT CAB,W/T,1GT21ZHG-B,19975
25789B,11,GMC,SIERRA 2500 EXT CAB,W/T 2WD T/D,1GT21ZHL-B,26475
25901B,11,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220B8-B,32750
25902B,11,GMC,SIERRA 2500 EXT CAB,SLE,1GT220BG-B,26325
25913B,11,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220BL-B,32750
25903B,11,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220C8-B,32750
25904B,11,GMC,SIERRA 2500 EXT CAB,SLE,1GT220CG-B,26325
25914B,11,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220CL-B,32750
25905B,11,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220D8-B,32750
25906B,11,GMC,SIERRA 2500 EXT CAB,SLE,1GT220DG-B,26325
25915B,11,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220DL-B,32750
25907B,11,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220E8-B,32750
25908B,11,GMC,SIERRA 2500 EXT CAB,SLE,1GT220EG-B,26325
25916B,11,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220EL-B,32750
25909B,11,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220F8-B,32750
25910B,11,GMC,SIERRA 2500 EXT CAB,SLE,1GT220FG-B,26325
25917B,11,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220FL-B,32750
25911B,11,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220H8-B,32750
25912B,11,GMC,SIERRA 2500 EXT CAB,SLE,1GT220HG-B,26325
25918B,11,GMC,SIERRA 2500 EXT CAB,SLE 4WD T/D,1GT220HL-B,32750
25973B,11,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221B8-B,38450
25974B,11,GMC,SIERRA 2500 EXT CAB,SLT,1GT221BG-B,31900
25975B,11,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221BL-B,38450
25976B,11,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221C8-B,38450
25977B,11,GMC,SIERRA 2500 EXT CAB,SLT,1GT221CG-B,30500
25978B,11,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221CL-B,38450
25979B,11,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221D8-B,38450
25980B,11,GMC,SIERRA 2500 EXT CAB,SLT,1GT221DG-B,30500
25981B,11,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221DL-B,38450
25982B,11,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221E8-B,38450
25983B,11,GMC,SIERRA 2500 EXT CAB,SLT,1GT221EG-B,30500
25984B,11,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221EL-B,38450
25985B,11,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221F8-B,38450
25986B,11,GMC,SIERRA 2500 EXT CAB,SLT,1GT221FG-B,30500
25987B,11,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221FL-B,38450
25988B,11,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221H8-B,38450
25989B,11,GMC,SIERRA 2500 EXT CAB,SLT,1GT221HG-B,30500
25990B,11,GMC,SIERRA 2500 EXT CAB,SLT 4WD T/D,1GT221HL-B,38450
25790B,11,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZB8-B,30175
25791B,11,GMC,SIERRA 2500 EXT CAB,W/T,1GT22ZBG-B,23650
25802B,11,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZBL-B,30175
25792B,11,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZC8-B,30175
25793B,11,GMC,SIERRA 2500 EXT CAB,W/T,1GT22ZCG-B,23650
25803B,11,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZCL-B,24525
25794B,11,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZD8-B,30175
25795B,11,GMC,SIERRA 2500 EXT CAB,W/T,1GT22ZDG-B,23650
25804B,11,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZDL-B,30175
25796B,11,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZE8-B,30175
25797B,11,GMC,SIERRA 2500 EXT CAB,W/T,1GT22ZEG-B,23650
25805B,11,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZEL-B,30175
25798B,11,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZF8-B,30175
25799B,11,GMC,SIERRA 2500 EXT CAB,W/T,1GT22ZFG-B,23650
25806B,11,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZFL-B,30175
25800B,11,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZH8-B,30175
25801B,11,GMC,SIERRA 2500 EXT CAB,W/T,1GT22ZHG-B,23650
25807B,11,GMC,SIERRA 2500 EXT CAB,W/T 4WD T/D,1GT22ZHL-B,30175
177357,07,GMC,SIERRA 2500 HD,CREW 2WD T/D,1GTHC236-7,14650
177367,07,GMC,SIERRA 2500 HD,CREW 2WD 6.0,1GTHC23K-7,11525
176047,07,GMC,SIERRA 2500 HD,REG 2WD T/D,1GTHC246-7,12350
176057,07,GMC,SIERRA 2500 HD,REG 2WD 6.0,1GTHC24K-7,9350
176087,07,GMC,SIERRA 2500 HD,EXT 2WD T/D,1GTHC296-7,13125
176097,07,GMC,SIERRA 2500 HD,EXT 2WD 6.0,1GTHC29K-7,10100
188857,07,GMC,SIERRA 2500 HD,SLE,1GTHC736-7,18850
188867,07,GMC,SIERRA 2500 HD,SLE,1GTHC73K-7,15700
188837,07,GMC,SIERRA 2500 HD,SLE,1GTHC746-7,15150
